Lake_ID;Ergasilus.spp.;harpacticoid;ostracod;Daphnia.ambigua;Daphnia.catawba;Daphnia.dentifera;Daphnia.galeata.mendotae;Daphnia.longiremis;Daphnia.parvula;Daphnia.pulicaria;Daphnia.retrocurva;Daphnia.thorata;Daphnia.spp.;Acanthocyclops.robustus;Acanthocyclops.sp.;Cyclops.scutifer;Diacyclops.thomasi;Eucyclops.elegans;Eucyclops.pectinifer;Eucyclops.spp.;Mesocyclops.edax;Microcyclops.spp.;Orthocyclops.modestus;Tropocyclops.prasinus;cyclopoid.copepodid;Aglaodiaptomus.leptopus;Aglaodiaptomus.spatulocrenatus;Epischura.lacustris;Epischura.nevadensis;Epischura.spp.;Leptodiaptomus.ashlandi;Leptodiaptomus.minutus;Leptodiaptomus.nudus;Leptodiaptomus.sicilis;Leptodiaptomus.siciloides;Limnocalanus.macrurus;Onychodiaptomus.singuienus;Senecella.calanoides;Skistodiaptomus.oregonensis;Skistodiaptomus.pallidus;Skistodiaptomus.pygmaeus;Skistodiaptomus.reighardi;Skistodiaptomus.spp.;calanoid.copepodid;Acroperus.harpae;Alona.affinis;Alona.costata;Alona.guttata;Alona.spp.;Alonella.nana;Bosmina.longirostris;Camptocercus.spp.;Ceriodaphnia.lacustris;Ceriodaphnia.spp.;Chydorus.sphaericus;Diaphanosoma.birgei;Diaphanosoma.brachyurum;Diaphanosoma.spp.;Eubosmina.coregoni;Eubosmina.longispina;Eubosmina.tubicen;Holopedium.glacialis;Macrothrix.sp.;Picripleuroxus.denticulatus;Pleuroxus.procurvus;Polyphemus.pediculus;Sida.crystallina;Simocephalus.spp.;Daphnia.dubia;Daphnia.magna;Daphnia.similis;Diacyclops.navus;Macrocyclops.albidus;Mesocyclops.americanus;Acanthodiaptomus.denticornis;Aglaodiaptomus.clavipes;Aglaodiaptomus.forbesi;Epischura.nordenskioldi;Hesperodiaptomus.arcticus;Hesperodiaptomus.eiseni;Hesperodiaptomus.nevadensis;Hesperodiaptomus.spp.;Leptodiaptomus.pribilofensis;Leptodiaptomus.tyrrelli;Alona.intermedia;Alona.quadrangularis;Alonella.acutirostris;Ceriodaphnia.quadrangula;Dunhevedia.crassa;Eubosmina.spp.;Graptoleberis.testudinaria;Ilyocryptus.spp.;Latona.sp.;Moina.spp.;Cyclops.columbianus;Daphnia.middendorffiana;Eurycercus.spp.;Hesperodiaptomus.franciscanus;Hesperodiaptomus.kenai;Heterocope.septentrionalis;Onychodiaptomus.hesperus;Scapholeberis.spp.
06-131;0;0;0;0;0;0;16.2627425274384;0;0;157.33783893917;0;0;0;0;0;119.847252885387;0;0;0;0;22.3703083866435;0;0;0;0;0;0;1.55316185304086;0;0;0;0;0;0;0;0;0;0;2.13631288543192;0;0;0;0;0;0;0;0;0;0;0;0.0501562210777556;0;0;0;0;0;0;0;0;1.1432242010715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-132;0;0;0;0;4.13153669197765;0;41.7017728721243;0;0;0;0;0;0;0;0;0;0;0;0;0;97.8885735424416;0;0;0.79425981519881;0;0;0;0;0;0;0;5.56442389053837;0;0;0;0;0;0;2.64128556713463;0;0;0;0;0;0;0;0;0;0;0;1.6243952634252;0;0;0.0303323241738889;0;0;0.275884999400146;0;0;0;0.784414328582468;1.50972395872872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-133;0;0;0;0;0;0;51.9841125686958;0;0;42.1907646860664;0;0;0;0;0;12.850044038522;0;0;0;0;0;0;0;0.585470534439401;0;0;0;0;0;4.83368666252013;0;13.5771271862262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.118602731943684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-136;0;0;0;0;0;0;0;0;0;0;67.1017503493163;0;0;0;0;0;8.68497021130944;0;0;0;0;0;0;0.791104900580134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.4178784726075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.628469342891838;0;9.95491380426596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-137;0;0;0;0;0;0;3.21772107657156;0;0;0;0;0;0;0;0;0;12.2183713573145;0;0;0;3.43869607931031;0;0;7.47609283504277;0;0;0;0;0;0;0;5.00926070029841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.00217923013613;0;0;0.372996370528492;0.019962327850404;0;0;0;0;0;0;0.152865646199104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-139;0;0;0;0;0;0;31.3109411394144;0;0;29.9125390499923;0;0;0;0;0;0;17.5067976702534;0;0;0;16.8269517912443;0;0;0.117785945932395;0;0;0;1.83324424410602;0;0;0;0.831701040895682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.129645444924689;0;0;0;0.0179143880410124;0;0;0;0;0;0;0.316247701445464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-140;0;0;0;0;0;0;15.2533240087638;0;0;0;0;0;0;0;0;0;12.154146368787;0;0;0;0;0;0;2.18508545752236;0;0;0;12.258661424079;0;0;0;24.843175674396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.6128751923238;0;0;6.23891271431929;0;42.9264718898518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-141;0;0;0.0538752955917073;0;0;0;19.8399765313798;0;0;0;0;0;0;0;0;0;14.8521373933035;0;0;0;19.1618593071421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28.4201623729671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67.0190545038747;0.107530703761379;0;0.443872674190378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-142;0;0;0;0;0;0;0;0;0;43.9382340541888;0;0;0;0;0;0;0;0;0;0;0;0;0;1.76855155219529;0;0;0;0;0;0.504031767385072;0;18.8927861320625;0;0;0;0;0;0;0.657922941648621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.01413489797273;0;0;0.190144875847348;0;0;0.280864121232553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-146;0;0;0;0;0;0;8.69601669806931;0;0;0;0;0;0;0;0;0;1.59014878284755;0;0;0;2.11481561918767;0;0;2.6719452882881;0;0;0;0;0;0;0;19.2167074404019;0;0;0;0;0;12.3602963231989;0;0;0;0;0;0;0;0;0;0;0;0;3.61146125174632;0;0;0.356338387782677;21.8481517960716;0;0.0602521825998608;0;0;0;0;5.29036028474335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-156;0;0;0;0;0;0;4.45474489395557;0;0;36.8784590366535;0;0;0;0;0;6.3837449225067;0;0;0;0;0;0;0;0.0856689880422737;0;0;0;2.9973723315076;0;0;0;0.674504087916522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.31688635567216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-158;0;0;0;0;121.147278505568;0;0;0;0;0;0;0;0;0;0;0;18.9325951328293;0;0;0;0;0;0;1.57615961010752;0;0;0;0;0;0;0;0.24947266623947;0;0;0;0;0;0;25.0733691304871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.295665872804728;0;0;0;0;15.1591209751539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.7579368989107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.508912306388574;0;0;0;0;0;0;4.06602245974678;0;0;0.218575745458956;0;0;0.0210415515333568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-161;0;0;0.001206395423414;0;0;0;0.22919326868894;0;0;29.6027265119241;0;0;0;0;0;0;0;0;0;0;0;0;0;2.19563600484396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0185217667962447;0;0;0;0;0;0;0.00840459480277932;0;0;0;0.00479829447993303;0;0.00742546346179054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
