lake_ID,lake_name,latitude,longitude,ecozone,area,size_class,watershed_area,max_depth,invivo_chla_surface,invivo_chla_bottom,filtered_chla_surface,surface_temp,watercolumn_temp,epilimnion_temp,hypolimnion_temp,tp_tube,tp_bottom,tn_tube,tn_bottom,tntp_ratio,zoo_richness,zoo_density
11-546,NA,54.168663,-124.208658,Montane Cordillera,0.124554,small,23.65270909,3.8,13.900697,18.955944,13.94136371,16.769785,16.6,16.769785,16.38925,37.1,73.78,0.271226365,0.282172615,7.310683693,5,267.674312354
11-547,Naltesby Lake,53.607447,-123.488697,Montane Cordillera,8.208918,large,203.0351271,20.1,2.963637,1.738351,6.755454667,16.17711,12.9,16.1,8.2,28.48,145.05,0.206251365,0.231213365,7.241972086,11,134.730217664
11-548,Mackenzie Lakes,53.539827,-122.942903,Montane Cordillera,0.254161,small,3.497733543,5.1,2.583573,2.611705,11.39437347,16.867535,16.8,16.867535,16.763121,52.6,73.78,0.309463865,0.282172615,5.883343441,7,325.63403521500004
11-554,Hammer Lake,51.234899,-120.718194,Montane Cordillera,0.640597,medium,5.102935494,11,3.504768,2.734731,2.110845778,16.493331,12.3,16.5,8.1,18.17,121.81,0.247668115,0.282172615,10.27058906,6,116.59413673600001
11-556,Sepa Lake,51.734097,-121.352237,Montane Cordillera,0.20094,small,3.878909824,4.6,4.751083,5.117188,1.797851511,18.449846,18.4,18.449846,18.40668,17.02,73.78,0.952185365,0.282172615,55.94508608,6,349.03313572400003
11-557,Greeny Lake,51.850947,-121.33891,Montane Cordillera,0.763683,medium,7.755518766,17,0.885995,2.152551,2.010530889,17.71073,12,17.7,7.1,12.77,55.03,0.458408365,0.991224865,35.89728778,4,211.15561601199997
11-558,Tabor Lake,53.916375,-122.54217,Montane Cordillera,3.692237,medium,27.54510826,9.3,3.323737,1.723038,4.252504667,18.407804,17.8,18.3,14.7,22.06,98.8,0.211881365,0.301088865,9.604776292,6,238.723677127
11-589,Tudyah Lake,55.084266,-123.038133,Montane Cordillera,6.190547,large,3781.87366,36.6,4.781285,2.255805,3.874793023,16.249936,11.3,16.2,8.8,15.49,27.49,0.084877865,0.471530365,5.479526469,11,26.583966503
11-590,Aleza Lake,54.115384,-122.064291,Montane Cordillera,0.562801,medium,68.54139233,18,4.74719,3.125537,2.8922584,17.730476,9.6,17.7,6.5,26.93,76.84,0.178654865,0.157073365,6.634046231,9,69.98344684200002
11-595,Upper Little Slocan Lake,49.67651,-117.658481,Montane Cordillera,0.743309,medium,132.9976691,21.5,1.138108,1.053543,1.1556984,14.65099,10.7,16.6,9.5,12.55,73.78,0.059988865,0.282172615,4.779989243,3,27.599340971999997
11-625,Crystal Lake,54.416617,-122.618301,Montane Cordillera,0.383407,small,5.298169115,28,0.851363,0.830188,0.807972933,18.580602,7.5,18.5,4.9,10.15,11.33,0.062395365,0.064508865,6.147326601,5,61.263503842000006
11-626,NA,54.67022,-123.558782,Montane Cordillera,0.2331,small,3.776672909,14.5,4.95727,3.757489,2.567470489,17.929323,9,17.9,5.3,14.17,90.79,0.152959865,0.137828365,10.79462703,8,88.130784613
11-627,Huble Lake,54.269426,-122.616376,Montane Cordillera,0.228167,small,1.180095259,7.3,18.694541,8.912392,5.294145334,17.984847,13.6,18,8.1,19.31,36.69,0.248929365,0.410000365,12.89121517,4,23.849830841000003
11-628,Dominion Lake,54.450825,-122.695605,Montane Cordillera,0.662624,medium,48.93721339,7.1,5.709988,3.935571,4.829251289,17.521281,14.7,17.5,9.6,15.52,46.97,0.096154365,0.114176365,6.195513209,8,67.130098446
11-629,Summit Lake,54.277084,-122.678241,Montane Cordillera,12.939057,large,149.9240645,16.4,5.035694,1.787602,4.672193023,17.955651,12.6,17.8,7.7,12.81,86.33,0.106470365,0.112275365,8.311503903,11,49.984150160999995
11-630,Rainbow Lake,52.996317,-123.60365,Montane Cordillera,0.71851,medium,3.962069874,21.2,0.681933,1.731934,1.214804445,18.510305,12,18.5,6.1,9.79,201.95,0.177771865,0.419120865,18.15851532,7,163.945504452
11-631,Dragon Lake,52.94939,-122.420822,Montane Cordillera,5.265444,large,39.38061915,8.6,1.033311,1.205709,1.553295822,19.914346,19.9,19.914346,19.869338,8.91,73.78,0.260504365,0.282172615,29.23730247,6,72.43335231
